Datetime,Tweet Id,Text,Username,Vaccine,zip_code,Hospital_Name,Capacity,Hour,Day,dayofweek
2021-05-29 18:22:46+05:30,1398623351174680576,"560011 on 30-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Narayana Multispecialty Clinic(Capacity: 40, Dose 1: 40 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560011,Narayana Multispecialty Clini,40,18,29,5
2021-05-29 17:47:32+05:30,1398614483640086529,"560103 on 31-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Columbia Asia Sarjapur P3(Capacity: 98, Dose 1: 98 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560103,Columbia Asia Sarjapur P,98,17,29,5
2021-05-29 16:02:06+05:30,1398587952314208262,"560035 on 31-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at Apollo Clinic Doddakannelli P3(Capacity: 49, Dose 1: 49 slots left, Dose 2: 0 slots left)",BloreVaccine,COVAXIN,560035,Apollo Clinic Doddakannelli P,49,16,29,5
2021-05-29 15:56:28+05:30,1398586531556646913,"560001 on 31-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at VIKRAM HOSPITAL Covi-s(Capacity: 100, Dose 1: 80 slots left, Dose 2: 20 slots left)",BloreVaccine,COVISHIELD,560001,VIKRAM HOSPITAL Covi-,100,15,29,5
2021-05-29 15:21:55+05:30,1398577836571512833,"560011 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Apollo Hospital-JAYANAGAR(Capacity: 200, Dose 1: 200 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560011,Apollo Hospital-JAYANAGA,200,15,29,5
2021-05-29 13:09:39+05:30,1398544551002865667,"560034 on 04-06-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 550, Dose 1: 550 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,550,13,29,5
2021-05-29 13:09:37+05:30,1398544542584905734,"560034 on 03-06-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 550, Dose 1: 550 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,550,13,29,5
2021-05-29 13:09:29+05:30,1398544509391163395,"560034 on 02-06-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 550, Dose 1: 550 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,550,13,29,5
2021-05-29 13:09:17+05:30,1398544458157674501,"560034 on 01-06-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 550, Dose 1: 550 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,550,13,29,5
2021-05-29 13:08:48+05:30,1398544337147895810,"560034 on 31-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 750, Dose 1: 750 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,750,13,29,5
2021-05-29 12:18:31+05:30,1398531683691876354,"560047 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at ST PHILOMENA HOSPITAL BLOCK 1(Capacity: 20, Dose 1: 0 slots left, Dose 2: 20 slots left)",BloreVaccine,COVISHIELD,560047,ST PHILOMENA HOSPITAL BLOCK ,20,12,29,5
2021-05-29 12:18:31+05:30,1398531683691864067,"560025 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Narayan Medical Centre(Capacity: 25, Dose 1: 0 slots left, Dose 2: 25 slots left)",BloreVaccine,COVISHIELD,560025,Narayan Medical Centr,25,12,29,5
2021-05-29 12:18:31+05:30,1398531683415068677,"560001 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at VIKRAM HOSPITAL Covi-s(Capacity: 50, Dose 1: 0 slots left, Dose 2: 50 slots left)",BloreVaccine,COVISHIELD,560001,VIKRAM HOSPITAL Covi-,50,12,29,5
2021-05-29 12:18:31+05:30,1398531683415068674,"560001 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at HCG Block 1(Capacity: 20, Dose 1: 0 slots left, Dose 2: 20 slots left)",BloreVaccine,COVISHIELD,560001,HCG Block ,20,12,29,5
2021-05-29 12:18:29+05:30,1398531676981002245,"560099 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BangaloreUrban at Narayana Hrudayalaya Pvt Ltd(Capacity: 49, Dose 1: 0 slots left, Dose 2: 49 slots left)",BloreVaccine,COVISHIELD,560099,Narayana Hrudayalaya Pvt Lt,49,12,29,5
2021-05-29 12:18:29+05:30,1398531676968415244,"560100 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BangaloreUrban at SYNGENE INTERNATIONAL LIMITED(Capacity: 100, Dose 1: 0 slots left, Dose 2: 100 slots left)",BloreVaccine,COVISHIELD,560100,SYNGENE INTERNATIONAL LIMITE,100,12,29,5
2021-05-29 12:04:07+05:30,1398528059205058560,"560035 on 31-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at Apollo Clinic Doddakannelli P3(Capacity: 17, Dose 1: 17 slots left, Dose 2: 0 slots left)",BloreVaccine,COVAXIN,560035,Apollo Clinic Doddakannelli P,17,12,29,5
2021-05-29 10:30:26+05:30,1398504482091134977,"560078 on 29-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at ASTER CLINIC - COVAXIN(Capacity: 250, Dose 1: 200 slots left, Dose 2: 50 slots left)",BloreVaccine,COVAXIN,560078,ASTER CLINIC - COVAXI,250,10,29,5
2021-05-29 08:23:39+05:30,1398472578277134338,"560103 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Apollo Clinic Bellandur P3(Capacity: 25, Dose 1: 13 slots left, Dose 2: 12 slots left)",BloreVaccine,COVISHIELD,560103,Apollo Clinic Bellandur P,25,8,29,5
2021-05-29 07:12:59+05:30,1398454793333477379,"560011 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Apollo Hospital-JAYANAGAR(Capacity: 100, Dose 1: 100 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560011,Apollo Hospital-JAYANAGA,100,7,29,5
2021-05-29 00:10:52+05:30,1398348564426678273,"560001 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at VIKRAM HOSPITAL Covi-s(Capacity: 200, Dose 1: 150 slots left, Dose 2: 50 slots left)",BloreVaccine,COVISHIELD,560001,VIKRAM HOSPITAL Covi-,200,0,29,5
2021-05-28 20:57:01+05:30,1398299778547519495,"560011 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Cloudnine Fertility- Jayanagar(Capacity: 40, Dose 1: 40 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560011,Cloudnine Fertility- Jayanaga,40,20,28,4
2021-05-28 20:15:22+05:30,1398289301104824329,"560066 on 29-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at RXDX WHITE FIELD S1 P3(Capacity: 50, Dose 1: 50 slots left, Dose 2: 0 slots left)",BloreVaccine,COVAXIN,560066,RXDX WHITE FIELD S1 P,50,20,28,4
2021-05-28 20:12:05+05:30,1398288471152726018,"560066 on 30-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at RXDX WHITE FIELD S1 P3(Capacity: 50, Dose 1: 50 slots left, Dose 2: 0 slots left)",BloreVaccine,COVAXIN,560066,RXDX WHITE FIELD S1 P,50,20,28,4
2021-05-28 20:09:09+05:30,1398287735333396486,"560066 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at CLOUDNINE WHITEFIELD P3(Capacity: 50, Dose 1: 50 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560066,CLOUDNINE WHITEFIELD P,50,20,28,4
